Loaded plugins: fastestmirror, refresh-packagekit, security
Installed Packages
libvisual.x86_64                     0.4.0-9.1.el6             @base/$releasever
libvorbis.x86_64                     1:1.2.3-4.el6_2.1         @base/$releasever
libwacom.x86_64                      0.5-5.el6                 @base/$releasever
libwacom-data.noarch                 0.5-5.el6                 @base/$releasever
libwnck.x86_64                       2.28.0-3.el6              @base/$releasever
libxcb.x86_64                        1.8.1-1.el6               @base/$releasever
libxkbfile.x86_64                    1.0.6-1.1.el6             @base/$releasever
libxklavier.x86_64                   4.0-9.el6                 @base/$releasever
libxml2.x86_64                       2.7.6-14.el6              @base/$releasever
libxml2-python.x86_64                2.7.6-14.el6              @base/$releasever
libxslt.x86_64                       1.1.26-2.el6_3.1          @base/$releasever
lklug-fonts.noarch                   0.6-4.20090803cvs.el6     @base/$releasever
lldpad.x86_64                        0.9.46-2.el6              @base/$releasever
lldpad-libs.x86_64                   0.9.46-2.el6              @base/$releasever
lockdev.x86_64                       1.0.1-18.el6              @base/$releasever
logrotate.x86_64                     3.7.8-17.el6              @base/$releasever
lohit-assamese-fonts.noarch          2.4.3-5.el6               @base/$releasever
lohit-bengali-fonts.noarch           2.4.3-6.el6               @base/$releasever
lohit-devanagari-fonts.noarch        2.4.3-7.el6               @base/$releasever
lohit-gujarati-fonts.noarch          2.4.4-4.el6               @base/$releasever
lohit-kannada-fonts.noarch           2.4.5-6.el6               @base/$releasever
lohit-oriya-fonts.noarch             2.4.3-6.el6               @base/$releasever
lohit-punjabi-fonts.noarch           2.4.4-2.el6               @base/$releasever
lohit-tamil-fonts.noarch             2.4.5-5.el6               @base/$releasever
lohit-telugu-fonts.noarch            2.4.5-6.el6               @base/$releasever
lsof.x86_64                          4.82-4.el6                @base/$releasever
lua.x86_64                           5.1.4-4.1.el6             @base/$releasever
lvm2.x86_64                          2.02.100-8.el6            @base/$releasever
lvm2-libs.x86_64                     2.02.100-8.el6            @base/$releasever
lzo.x86_64                           2.03-3.1.el6              @base/$releasever
m4.x86_64                            1.4.13-5.el6              @base/$releasever
madan-fonts.noarch                   2.000-3.el6               @base/$releasever
mailcap.noarch                       2.1.31-2.el6              @base            
mailx.x86_64                         12.4-7.el6                @base/$releasever
make.x86_64                          1:3.81-20.el6             @base/$releasever
makebootfat.x86_64                   1.4-10.el6                @base/$releasever
man.x86_64                           1.6f-32.el6               @base/$releasever
man-pages.noarch                     3.22-20.el6               @base/$releasever
man-pages-overrides.noarch           6.5.2-1.el6               @base/$releasever
mcpp.x86_64                          2.7.2-4.1.el6             @base/$releasever
mdadm.x86_64                         3.2.6-7.el6               @base/$releasever
memtest86+.x86_64                    4.10-2.el6                @base/$releasever
mesa-dri-drivers.x86_64              9.2-0.5.el6               @base/$releasever
mesa-dri-filesystem.x86_64           9.2-0.5.el6               @base/$releasever
mesa-dri1-drivers.x86_64             7.11-8.el6                @base/$releasever
mesa-libEGL.x86_64                   9.2-0.5.el6               @base/$releasever
mesa-libGL.x86_64                    9.2-0.5.el6               @base/$releasever
mesa-libGLU.x86_64                   9.2-0.5.el6               @base/$releasever
mesa-libgbm.x86_64                   9.2-0.5.el6               @base/$releasever
mesa-private-llvm.x86_64             3.3-0.3.rc3.el6           @base/$releasever
metacity.x86_64                      2.28.0-23.el6             @base/$releasever
microcode_ctl.x86_64                 1:1.17-17.el6             @base/$releasever
mingetty.x86_64                      1.08-5.el6                @base/$releasever
mlocate.x86_64                       0.22.2-4.el6              @base/$releasever
mobile-broadband-provider-info.noarch
                                     1.20100122-2.el6          @base/$releasever
module-init-tools.x86_64             3.9-21.el6_4              @base/$releasever
mozilla-filesystem.x86_64            1.9-5.1.el6               @base/$releasever
mtdev.x86_64                         1.1.2-5.el6               @base/$releasever
mtools.x86_64                        4.0.12-1.el6              @base/$releasever
mtr.x86_64                           2:0.75-5.el6              @base/$releasever
mysql.x86_64                         5.1.73-3.el6_5            @updates         
mysql-libs.x86_64                    5.1.73-3.el6_5            @updates         
mysql-server.x86_64                  5.1.73-3.el6_5            @updates         
nautilus.x86_64                      2.28.4-19.el6             @base/$releasever
nautilus-extensions.x86_64           2.28.4-19.el6             @base/$releasever
ncurses.x86_64                       5.7-3.20090208.el6        @base/$releasever
ncurses-base.x86_64                  5.7-3.20090208.el6        @base/$releasever
ncurses-libs.x86_64                  5.7-3.20090208.el6        @base/$releasever
net-tools.x86_64                     1.60-110.el6_2            @base/$releasever
newt.x86_64                          0.52.11-3.el6             @base/$releasever
newt-python.x86_64                   0.52.11-3.el6             @base/$releasever
notification-daemon.x86_64           0.5.0-1.el6               @base/$releasever
nspluginwrapper.x86_64               1.4.4-1.el6_3             @base/$releasever
nspr.x86_64                          4.10.0-1.el6              @base/$releasever
nss.x86_64                           3.15.1-15.el6             @base/$releasever
nss-softokn.x86_64                   3.14.3-9.el6              @base/$releasever
nss-softokn-freebl.x86_64            3.14.3-9.el6              @base/$releasever
nss-sysinit.x86_64                   3.15.1-15.el6             @base/$releasever
nss-tools.x86_64                     3.15.1-15.el6             @base/$releasever
nss-util.x86_64                      3.15.1-3.el6              @base/$releasever
ntp.x86_64                           4.2.6p5-1.el6.centos      @base/$releasever
ntpdate.x86_64                       4.2.6p5-1.el6.centos      @base/$releasever
ntsysv.x86_64                        1.3.49.3-2.el6_4.1        @base/$releasever
numactl.x86_64                       2.0.7-8.el6               @base/$releasever
obex-data-server.x86_64              1:0.4.3-4.el6             @base/$releasever
obexd.x86_64                         0.19-2.el6                @base/$releasever
openct.x86_64                        0.6.19-4.el6              @base/$releasever
openjpeg-libs.x86_64                 1.3-9.el6_3               @base/$releasever
openldap.x86_64                      2.4.23-32.el6_4.1         @base/$releasever
openobex.x86_64                      1.4-7.el6                 @base/$releasever
openssh.x86_64                       5.3p1-94.el6              @base/$releasever
openssh-askpass.x86_64               5.3p1-94.el6              @base/$releasever
openssh-clients.x86_64               5.3p1-94.el6              @base/$releasever
openssh-server.x86_64                5.3p1-94.el6              @base/$releasever
openssl.x86_64                       1.0.1e-15.el6             @base/$releasever
orca.x86_64                          2.28.2-1.el6              @base/$releasever
p11-kit.x86_64                       0.18.5-2.el6              @base/$releasever
p11-kit-trust.x86_64                 0.18.5-2.el6              @base/$releasever
paktype-fonts-common.noarch          2.0-8.el6                 @base/$releasever
paktype-naqsh-fonts.noarch           2.0-8.el6                 @base/$releasever
paktype-tehreer-fonts.noarch         2.0-8.el6                 @base/$releasever
pam.x86_64                           1.1.1-17.el6              @base/$releasever
pam_passwdqc.x86_64                  1.0.5-6.el6               @base/$releasever
pango.x86_64                         1.28.1-7.el6_3            @base/$releasever
parted.x86_64                        2.1-21.el6                @base/$releasever
passwd.x86_64                        0.77-4.el6_2.2            @base/$releasever
pciutils.x86_64                      3.1.10-2.el6              @base/$releasever
pciutils-libs.x86_64                 3.1.10-2.el6              @base/$releasever
pcmciautils.x86_64                   015-4.2.el6               @base/$releasever
pcre.x86_64                          7.8-6.el6                 @base/$releasever
pcsc-lite.x86_64                     1.5.2-13.el6_4            @base/$releasever
pcsc-lite-libs.x86_64                1.5.2-13.el6_4            @base/$releasever
pcsc-lite-openct.x86_64              0.6.19-4.el6              @base/$releasever
perl.x86_64                          4:5.10.1-136.el6          @base/$releasever
perl-DBD-MySQL.x86_64                4.013-3.el6               @base            
perl-DBI.x86_64                      1.609-4.el6               @base            
perl-Module-Pluggable.x86_64         1:3.90-136.el6            @base/$releasever
perl-Pod-Escapes.x86_64              1:1.04-136.el6            @base/$releasever
perl-Pod-Simple.x86_64               1:3.13-136.el6            @base/$releasever
perl-libs.x86_64                     4:5.10.1-136.el6          @base/$releasever
perl-version.x86_64                  3:0.77-136.el6            @base/$releasever
php.x86_64                           5.3.3-27.el6_5.1          @updates         
php-cli.x86_64                       5.3.3-27.el6_5.1          @updates         
php-common.x86_64                    5.3.3-27.el6_5.1          @updates         
pinentry.x86_64                      0.7.6-6.el6               @base/$releasever
pinfo.x86_64                         0.6.9-12.el6              @base/$releasever
pixman.x86_64                        0.26.2-5.el6_4            @base/$releasever
pkgconfig.x86_64                     1:0.23-9.1.el6            @base/$releasever
plymouth.x86_64                      0.8.3-27.el6.centos       @base/$releasever
plymouth-core-libs.x86_64            0.8.3-27.el6.centos       @base/$releasever
plymouth-gdm-hooks.x86_64            0.8.3-27.el6.centos       @base/$releasever
plymouth-graphics-libs.x86_64        0.8.3-27.el6.centos       @base/$releasever
plymouth-plugin-label.x86_64         0.8.3-27.el6.centos       @base/$releasever
plymouth-plugin-two-step.x86_64      0.8.3-27.el6.centos       @base/$releasever
plymouth-scripts.x86_64              0.8.3-27.el6.centos       @base/$releasever
plymouth-system-theme.noarch         0.8.3-27.el6.centos       @base/$releasever
plymouth-theme-rings.noarch          0.8.3-27.el6.centos       @base/$releasever
plymouth-utils.x86_64                0.8.3-27.el6.centos       @base/$releasever
pm-utils.x86_64                      1.2.5-10.el6              @base/$releasever
policycoreutils.x86_64               2.0.83-19.39.el6          @base/$releasever
polkit.x86_64                        0.96-5.el6_4              @base/$releasever
polkit-desktop-policy.noarch         0.96-5.el6_4              @base/$releasever
polkit-gnome.x86_64                  0.96-3.el6                @base/$releasever
poppler.x86_64                       0.12.4-3.el6_0.1          @base/$releasever
poppler-data.noarch                  0.4.0-1.el6               @base/$releasever
poppler-glib.x86_64                  0.12.4-3.el6_0.1          @base/$releasever
popt.x86_64                          1.13-7.el6                @base/$releasever
postfix.x86_64                       2:2.6.6-2.2.el6_1         @base/$releasever
ppp.x86_64                           2.4.5-5.el6               @base/$releasever
prelink.x86_64                       0.4.6-3.1.el6_4           @base/$releasever
procps.x86_64                        3.2.8-25.el6              @base/$releasever
psacct.x86_64                        6.3.2-63.el6_3.3          @base/$releasever
psmisc.x86_64                        22.6-15.el6_0.1           @base/$releasever
pth.x86_64                           2.0.7-9.3.el6             @base/$releasever
pulseaudio.x86_64                    0.9.21-14.el6_3           @base/$releasever
pulseaudio-gdm-hooks.x86_64          0.9.21-14.el6_3           @base/$releasever
pulseaudio-libs.x86_64               0.9.21-14.el6_3           @base/$releasever
pulseaudio-libs-glib2.x86_64         0.9.21-14.el6_3           @base/$releasever
pulseaudio-module-bluetooth.x86_64   0.9.21-14.el6_3           @base/$releasever
pulseaudio-module-gconf.x86_64       0.9.21-14.el6_3           @base/$releasever
pulseaudio-module-x11.x86_64         0.9.21-14.el6_3           @base/$releasever
pulseaudio-utils.x86_64              0.9.21-14.el6_3           @base/$releasever
pycairo.x86_64                       1.8.6-2.1.el6             @base/$releasever
pygobject2.x86_64                    2.20.0-5.el6              @base/$releasever
pygpgme.x86_64                       0.1-18.20090824bzr68.el6  @base/$releasever
pygtk2.x86_64                        2.16.0-3.el6              @base/$releasever
pygtk2-libglade.x86_64               2.16.0-3.el6              @base/$releasever
pygtksourceview.x86_64               2.8.0-1.el6               @base/$releasever
pykickstart.noarch                   1.74.14-1.el6             @base/$releasever
pyorbit.x86_64                       2.24.0-5.el6              @base/$releasever
pyparted.x86_64                      3.4-4.el6                 @base/$releasever
python.x86_64                        2.6.6-51.el6              @base/$releasever
python-cryptsetup.x86_64             0.0.11-1.el6              @base/$releasever
python-decorator.noarch              3.0.1-3.1.el6             @base/$releasever
python-deltarpm.x86_64               3.5-0.5.20090913git.el6   @base/$releasever
python-dmidecode.x86_64              3.10.13-3.el6_4           @base/$releasever
python-ethtool.x86_64                0.6-5.el6                 @base/$releasever
python-iniparse.noarch               0.3.1-2.1.el6             @base/$releasever
python-iwlib.x86_64                  0.1-1.2.el6               @base/$releasever
python-libs.x86_64                   2.6.6-51.el6              @base/$releasever
python-meh.noarch                    0.12.1-3.el6              @base/$releasever
python-nss.x86_64                    0.13-1.el6                @base/$releasever
python-pyblock.x86_64                0.48-1.el6                @base/$releasever
python-pycurl.x86_64                 7.19.0-8.el6              @base/$releasever
python-slip.noarch                   0.2.20-1.el6_2            @base/$releasever
python-urlgrabber.noarch             3.9.1-9.el6               @base/$releasever
pyxf86config.x86_64                  0.3.37-7.1.el6            @base/$releasever
ql2100-firmware.noarch               1.19.38-3.1.el6           @base/$releasever
ql2200-firmware.noarch               2.02.08-3.1.el6           @base/$releasever
ql23xx-firmware.noarch               3.03.27-3.1.el6           @base/$releasever
ql2400-firmware.noarch               7.00.01-1.el6             @base/$releasever
ql2500-firmware.noarch               7.00.01-1.el6             @base/$releasever
quota.x86_64                         1:3.17-20.el6             @base/$releasever
rarian.x86_64                        0.8.1-5.1.el6             @base/$releasever
rarian-compat.x86_64                 0.8.1-5.1.el6             @base/$releasever
rdate.x86_64                         1.4-16.el6                @base/$releasever
rdesktop.x86_64                      1.7.1-1.el6               @base/$releasever
readahead.x86_64                     1:1.5.6-2.el6             @base/$releasever
readline.x86_64                      6.0-4.el6                 @base/$releasever
redhat-bookmarks.noarch              6-1.el6.centos            @base/$releasever
redhat-logos.noarch                  60.0.14-12.el6.centos     @base/$releasever
redhat-menus.noarch                  14.0.0-3.el6              @base/$releasever
rfkill.x86_64                        0.3-4.el6                 @base/$releasever
rng-tools.x86_64                     2-13.el6_2                @base/$releasever
rootfiles.noarch                     8.1-6.1.el6               @base/$releasever
rpm.x86_64                           4.8.0-37.el6              @base/$releasever
rpm-libs.x86_64                      4.8.0-37.el6              @base/$releasever
rpm-python.x86_64                    4.8.0-37.el6              @base/$releasever
rsync.x86_64                         3.0.6-9.el6_4.1           @base/$releasever
rsyslog.x86_64                       5.8.10-8.el6              @base/$releasever
rt61pci-firmware.noarch              1.2-7.el6                 @base/$releasever
rt73usb-firmware.noarch              1.8-7.el6                 @base/$releasever
rtkit.x86_64                         0.5-2.el6_4               @base/$releasever
samba-common.x86_64                  3.6.9-164.el6             @base/$releasever
samba-winbind.x86_64                 3.6.9-164.el6             @base/$releasever
samba-winbind-clients.x86_64         3.6.9-164.el6             @base/$releasever
scl-utils.x86_64                     20120927-8.el6            @base/$releasever
sed.x86_64                           4.2.1-10.el6              @base/$releasever
selinux-policy.noarch                3.7.19-231.el6            @base/$releasever
selinux-policy-targeted.noarch       3.7.19-231.el6            @base/$releasever
setserial.x86_64                     2.17-25.el6               @base/$releasever
setup.noarch                         2.8.14-20.el6_4.1         @base/$releasever
setuptool.x86_64                     1.19.9-4.el6              @base/$releasever
sg3_utils-libs.x86_64                1.28-5.el6                @base/$releasever
sgml-common.noarch                   0.6.3-32.el6              @base/$releasever
sgpio.x86_64                         1.2.0.10-5.el6            @base/$releasever
shadow-utils.x86_64                  2:4.1.4.2-13.el6          @base/$releasever
shared-mime-info.x86_64              0.70-4.el6                @base/$releasever
sil-padauk-fonts.noarch              2.6.1-1.el6               @base/$releasever
slang.x86_64                         2.2.1-1.el6               @base/$releasever
smartmontools.x86_64                 1:5.43-1.el6              @base/$releasever
smc-fonts-common.noarch              04.2-11.el6               @base/$releasever
smc-meera-fonts.noarch               04.2-11.el6               @base/$releasever
smp_utils.x86_64                     0.94-4.el6                @base/$releasever
snappy.x86_64                        1.1.0-1.el6               @base/$releasever
sos.noarch                           2.2-47.el6.centos         @base/$releasever
sound-theme-freedesktop.noarch       0.7-3.el6                 @base/$releasever
speex.x86_64                         1.2-0.12.rc1.1.el6        @base/$releasever
spice-vdagent.x86_64                 0.14.0-2.el6              @base/$releasever
sqlite.x86_64                        3.6.20-1.el6              @base/$releasever
squashfs-tools.x86_64                4.0-5.el6                 @base/$releasever
startup-notification.x86_64          0.10-2.1.el6              @base/$releasever
stix-fonts.noarch                    0.9-13.1.el6              @base/$releasever
strace.x86_64                        4.5.19-1.17.el6           @base/$releasever
sudo.x86_64                          1.8.6p3-12.el6            @base/$releasever
syslinux.x86_64                      4.02-8.el6                @base/$releasever
sysstat.x86_64                       9.0.4-22.el6              @base/$releasever
system-config-date.noarch            1.9.60-2.el6.centos       @base/$releasever
system-config-date-docs.noarch       1.0.11-1.el6              @base/$releasever
system-config-firewall-base.noarch   1.2.27-5.el6              @base/$releasever
system-config-firewall-tui.noarch    1.2.27-5.el6              @base/$releasever
system-config-keyboard.x86_64        1.3.1-5.el6               @base/$releasever
system-config-keyboard-base.x86_64   1.3.1-5.el6               @base/$releasever
system-config-network-tui.noarch     1.6.0.el6.2-1.el6         @base/$releasever
system-config-users.noarch           1.2.106-7.el6             @base/$releasever
system-config-users-docs.noarch      1.0.8-2.el6               @base/$releasever
system-gnome-theme.noarch            60.0.2-1.el6              @base/$releasever
system-icon-theme.noarch             6.0.0-2.el6               @base/$releasever
system-setup-keyboard.x86_64         0.7-4.el6                 @base/$releasever
systemtap-runtime.x86_64             2.3-3.el6                 @base/$releasever
sysvinit-tools.x86_64                2.87-5.dsf.el6            @base/$releasever
taglib.x86_64                        1.6.1-1.1.el6             @base/$releasever
tar.x86_64                           2:1.23-11.el6             @base/$releasever
tcp_wrappers.x86_64                  7.6-57.el6                @base/$releasever
tcp_wrappers-libs.x86_64             7.6-57.el6                @base/$releasever
tcpdump.x86_64                       14:4.0.0-3.20090921gitdf3cb4.2.el6
                                                               @base/$releasever
tcsh.x86_64                          6.17-24.el6               @base/$releasever
thai-scalable-fonts-common.noarch    0.4.12-2.1.el6            @base/$releasever
thai-scalable-waree-fonts.noarch     0.4.12-2.1.el6            @base/$releasever
thunderbird.x86_64                   17.0.10-1.el6.centos      @base/$releasever
tibetan-machine-uni-fonts.noarch     1.901-5.el6               @base/$releasever
tigervnc.x86_64                      1.1.0-5.el6_4.1           @base/$releasever
tigervnc-server.x86_64               1.1.0-5.el6_4.1           @base/$releasever
time.x86_64                          1.7-37.1.el6              @base/$releasever
tmpwatch.x86_64                      2.9.16-4.el6              @base/$releasever
traceroute.x86_64                    3:2.0.14-2.el6            @base/$releasever
tsclient.x86_64                      2.0.2-8.el6               @base/$releasever
ttmkfdir.x86_64                      3.0.9-32.1.el6            @base/$releasever
tzdata.noarch                        2013g-1.el6               @base/$releasever
udev.x86_64                          147-2.51.el6              @base/$releasever
udisks.x86_64                        1.0.1-4.el6               @base/$releasever
un-core-dotum-fonts.noarch           1.0.2-0.15.080608.el6     @base/$releasever
un-core-fonts-common.noarch          1.0.2-0.15.080608.el6     @base/$releasever
unique.x86_64                        1.1.4-2.el6               @base/$releasever
unzip.x86_64                         6.0-1.el6                 @base/$releasever
upstart.x86_64                       0.6.5-12.el6_4.1          @base/$releasever
urw-fonts.noarch                     2.4-10.el6                @base/$releasever
usbutils.x86_64                      003-4.el6                 @base/$releasever
usermode.x86_64                      1.102-3.el6               @base/$releasever
usermode-gtk.x86_64                  1.102-3.el6               @base/$releasever
ustr.x86_64                          1.0.4-9.1.el6             @base/$releasever
util-linux-ng.x86_64                 2.17.2-12.14.el6          @base/$releasever
vconfig.x86_64                       1.9-8.1.el6               @base/$releasever
vim-common.x86_64                    2:7.2.411-1.8.el6         @base/$releasever
vim-enhanced.x86_64                  2:7.2.411-1.8.el6         @base/$releasever
vim-minimal.x86_64                   2:7.2.411-1.8.el6         @base/$releasever
virt-what.x86_64                     1.11-1.2.el6              @base/$releasever
vlgothic-fonts.noarch                20091202-2.el6            @base/$releasever
vlgothic-fonts-common.noarch         20091202-2.el6            @base/$releasever
vte.x86_64                           0.25.1-8.el6_4            @base/$releasever
wavpack.x86_64                       4.60-1.1.el6              @base/$releasever
wget.x86_64                          1.12-1.8.el6              @base/$releasever
which.x86_64                         2.19-6.el6                @base/$releasever
wireless-tools.x86_64                1:29-5.1.1.el6            @base/$releasever
wodim.x86_64                         1.1.9-12.el6              @base/$releasever
words.noarch                         3.0-17.el6                @base/$releasever
wpa_supplicant.x86_64                1:0.7.3-4.el6_3           @base/$releasever
wqy-zenhei-fonts.noarch              0.9.45-3.el6              @base/$releasever
xcb-util.x86_64                      0.3.6-1.el6               @base/$releasever
xdg-user-dirs.x86_64                 0.12-4.el6                @base/$releasever
xdg-user-dirs-gtk.x86_64             0.8-7.el6                 @base/$releasever
xdg-utils.noarch                     1.0.2-17.20091016cvs.el6  @base/$releasever
xkeyboard-config.noarch              2.6-6.el6                 @base/$releasever
xml-common.noarch                    0.6.3-32.el6              @base/$releasever
xmlrpc-c.x86_64                      1.16.24-1210.1840.el6     @base/$releasever
xmlrpc-c-client.x86_64               1.16.24-1210.1840.el6     @base/$releasever
xorg-x11-drivers.x86_64              7.3-13.4.el6              @base/$releasever
xorg-x11-drv-acecad.x86_64           1.5.0-6.el6               @base/$releasever
xorg-x11-drv-aiptek.x86_64           1.4.1-4.el6               @base/$releasever
xorg-x11-drv-apm.x86_64              1.2.5-5.el6               @base/$releasever
xorg-x11-drv-ast.x86_64              0.97.0-2.el6              @base/$releasever
xorg-x11-drv-ati.x86_64              7.1.0-3.el6               @base/$releasever
xorg-x11-drv-ati-firmware.noarch     7.1.0-3.el6               @base/$releasever
xorg-x11-drv-cirrus.x86_64           1.5.1-2.el6               @base/$releasever
xorg-x11-drv-dummy.x86_64            0.3.6-2.el6               @base/$releasever
xorg-x11-drv-elographics.x86_64      1.4.1-2.el6               @base/$releasever
xorg-x11-drv-evdev.x86_64            2.7.3-5.el6               @base/$releasever
xorg-x11-drv-fbdev.x86_64            0.4.3-2.el6               @base/$releasever
xorg-x11-drv-fpit.x86_64             1.4.0-5.el6               @base/$releasever
xorg-x11-drv-glint.x86_64            1.2.8-3.el6               @base/$releasever
xorg-x11-drv-hyperpen.x86_64         1.4.1-4.el6               @base/$releasever
xorg-x11-drv-i128.x86_64             1.3.6-3.el6               @base/$releasever
xorg-x11-drv-i740.x86_64             1.3.4-5.el6               @base/$releasever
xorg-x11-drv-intel.x86_64            2.21.12-2.el6             @base/$releasever
xorg-x11-drv-keyboard.x86_64         1.6.2-7.el6               @base/$releasever
xorg-x11-drv-mach64.x86_64           6.9.3-4.1.el6_4           @base/$releasever
xorg-x11-drv-mga.x86_64              1.6.1-10.el6              @base/$releasever
xorg-x11-drv-modesetting.x86_64      0.5.0-1.el6               @base/$releasever
xorg-x11-drv-mouse.x86_64            1.8.1-7.el6               @base/$releasever
xorg-x11-drv-mutouch.x86_64          1.3.0-4.el6               @base/$releasever
xorg-x11-drv-nouveau.x86_64          1:1.0.1-4.el6             @base/$releasever
xorg-x11-drv-nv.x86_64               2.1.20-4.el6              @base/$releasever
xorg-x11-drv-openchrome.x86_64       0.3.0-3.20120806git.el6   @base/$releasever
xorg-x11-drv-penmount.x86_64         1.5.0-4.el6               @base/$releasever
xorg-x11-drv-qxl.x86_64              0.1.0-7.el6               @base/$releasever
xorg-x11-drv-r128.x86_64             6.9.1-1.el6               @base/$releasever
xorg-x11-drv-rendition.x86_64        4.2.5-2.el6               @base/$releasever
xorg-x11-drv-s3virge.x86_64          1.10.6-2.el6              @base/$releasever
xorg-x11-drv-savage.x86_64           2.3.6-2.el6               @base/$releasever
xorg-x11-drv-siliconmotion.x86_64    1.7.7-2.el6               @base/$releasever
xorg-x11-drv-sis.x86_64              0.10.7-2.el6              @base/$releasever
xorg-x11-drv-sisusb.x86_64           0.9.6-2.el6               @base/$releasever
xorg-x11-drv-synaptics.x86_64        1.6.2-13.el6              @base/$releasever
xorg-x11-drv-tdfx.x86_64             1.4.5-2.el6               @base/$releasever
xorg-x11-drv-trident.x86_64          1.3.6-4.el6               @base/$releasever
xorg-x11-drv-v4l.x86_64              0.2.0-6.el6               @base/$releasever
xorg-x11-drv-vesa.x86_64             2.3.2-4.el6               @base/$releasever
xorg-x11-drv-vmmouse.x86_64          12.9.0-10.el6             @base/$releasever
xorg-x11-drv-vmware.x86_64           12.0.2-3.20120718gite5ac80d8f.el6
                                                               @base/$releasever
xorg-x11-drv-void.x86_64             1.4.0-3.el6               @base/$releasever
xorg-x11-drv-voodoo.x86_64           1.2.5-3.el6               @base/$releasever
xorg-x11-drv-wacom.x86_64            0.16.1-4.el6              @base/$releasever
xorg-x11-drv-xgi.x86_64              1.6.0-18.20121114git.el6  @base/$releasever
xorg-x11-font-utils.x86_64           1:7.2-11.el6              @base/$releasever
xorg-x11-fonts-100dpi.noarch         7.2-9.1.el6               @base/$releasever
xorg-x11-fonts-ISO8859-1-100dpi.noarch
                                     7.2-9.1.el6               @base/$releasever
xorg-x11-fonts-Type1.noarch          7.2-9.1.el6               @base/$releasever
xorg-x11-fonts-misc.noarch           7.2-9.1.el6               @base/$releasever
xorg-x11-glamor.x86_64               0.5.0-6.20130401git81aadb8.el6
                                                               @base/$releasever
xorg-x11-server-Xorg.x86_64          1.13.0-23.el6.centos      @base/$releasever
xorg-x11-server-common.x86_64        1.13.0-23.el6.centos      @base/$releasever
xorg-x11-server-utils.x86_64         7.5-13.el6                @base/$releasever
xorg-x11-utils.x86_64                7.5-6.el6                 @base/$releasever
xorg-x11-xauth.x86_64                1:1.0.2-7.1.el6           @base/$releasever
xorg-x11-xinit.x86_64                1.0.9-14.el6              @base/$releasever
xorg-x11-xkb-utils.x86_64            7.7-4.el6                 @base/$releasever
xulrunner.x86_64                     17.0.10-1.el6.centos      @base/$releasever
xvattr.x86_64                        1.3-18.el6                @base/$releasever
xz.x86_64                            4.999.9-0.3.beta.20091007git.el6
                                                               @base/$releasever
xz-libs.x86_64                       4.999.9-0.3.beta.20091007git.el6
                                                               @base/$releasever
xz-lzma-compat.x86_64                4.999.9-0.3.beta.20091007git.el6
                                                               @base/$releasever
yelp.x86_64                          2.28.1-17.el6_3           @base/$releasever
yum.noarch                           3.2.29-40.el6.centos      @base/$releasever
yum-metadata-parser.x86_64           1.1.2-16.el6              @base/$releasever
yum-plugin-fastestmirror.noarch      1.1.30-14.el6             @base/$releasever
yum-plugin-security.noarch           1.1.30-14.el6             @base/$releasever
yum-utils.noarch                     1.1.30-14.el6             @base/$releasever
zd1211-firmware.noarch               1.4-4.el6                 @base/$releasever
zenity.x86_64                        2.28.0-1.el6              @base/$releasever
zip.x86_64                           3.0-1.el6                 @base/$releasever
zlib.x86_64                          1.2.3-29.el6              @base/$releasever
