Loaded plugins: fastestmirror, refresh-packagekit, security
Installed Packages
dbus-glib.x86_64                     0.86-6.el6                @base/$releasever
dbus-libs.x86_64                     1:1.2.24-7.el6_3          @base/$releasever
dbus-python.x86_64                   0.83.0-6.1.el6            @base/$releasever
dbus-x11.x86_64                      1:1.2.24-7.el6_3          @base/$releasever
dejavu-fonts-common.noarch           2.30-2.el6                @base/$releasever
dejavu-sans-fonts.noarch             2.30-2.el6                @base/$releasever
dejavu-sans-mono-fonts.noarch        2.30-2.el6                @base/$releasever
dejavu-serif-fonts.noarch            2.30-2.el6                @base/$releasever
deltarpm.x86_64                      3.5-0.5.20090913git.el6   @base/$releasever
desktop-file-utils.x86_64            0.15-9.el6                @base/$releasever
device-mapper.x86_64                 1.02.79-8.el6             @base/$releasever
device-mapper-event.x86_64           1.02.79-8.el6             @base/$releasever
device-mapper-event-libs.x86_64      1.02.79-8.el6             @base/$releasever
device-mapper-libs.x86_64            1.02.79-8.el6             @base/$releasever
device-mapper-multipath.x86_64       0.4.9-72.el6              @base/$releasever
device-mapper-multipath-libs.x86_64  0.4.9-72.el6              @base/$releasever
device-mapper-persistent-data.x86_64 0.2.8-2.el6               @base/$releasever
dhclient.x86_64                      12:4.1.1-38.P1.el6.centos @base/$releasever
dhcp-common.x86_64                   12:4.1.1-38.P1.el6.centos @base/$releasever
diffutils.x86_64                     2.8.1-28.el6              @base/$releasever
dmidecode.x86_64                     1:2.11-2.el6              @base/$releasever
dmraid.x86_64                        1.0.0.rc16-11.el6         @base/$releasever
dmraid-events.x86_64                 1.0.0.rc16-11.el6         @base/$releasever
dmz-cursor-themes.noarch             0.4-4.el6                 @base/$releasever
dnsmasq.x86_64                       2.48-13.el6               @base/$releasever
docbook-dtds.noarch                  1.0-51.el6                @base/$releasever
dosfstools.x86_64                    3.0.9-4.el6               @base/$releasever
dracut.noarch                        004-335.el6               @base/$releasever
dracut-kernel.noarch                 004-335.el6               @base/$releasever
e2fsprogs.x86_64                     1.41.12-18.el6            @base/$releasever
e2fsprogs-libs.x86_64                1.41.12-18.el6            @base/$releasever
ed.x86_64                            1.1-3.3.el6               @base/$releasever
efibootmgr.x86_64                    0.5.4-11.el6              @base/$releasever
eggdbus.x86_64                       0.6-3.el6                 @base/$releasever
eject.x86_64                         2.1.5-17.el6              @base/$releasever
elfutils-libelf.x86_64               0.152-1.el6               @base/$releasever
elfutils-libs.x86_64                 0.152-1.el6               @base/$releasever
enchant.x86_64                       1:1.5.0-4.el6             @base/$releasever
ethtool.x86_64                       2:3.5-1.el6               @base/$releasever
evince.x86_64                        2.28.2-14.el6_0.1         @base/$releasever
evince-libs.x86_64                   2.28.2-14.el6_0.1         @base/$releasever
evolution-data-server.x86_64         2.32.3-18.el6             @base/$releasever
exempi.x86_64                        2.1.0-5.el6               @base/$releasever
expat.x86_64                         2.0.1-11.el6_2            @base/$releasever
fcoe-utils.x86_64                    1.0.28-3.el6              @base/$releasever
festival.x86_64                      1.96-18.el6               @base/$releasever
festival-lib.x86_64                  1.96-18.el6               @base/$releasever
festival-speechtools-libs.x86_64     1.2.96-18.el6             @base/$releasever
festvox-slt-arctic-hts.noarch        0.20061229-18.el6         @base/$releasever
file.x86_64                          5.04-15.el6               @base/$releasever
file-libs.x86_64                     5.04-15.el6               @base/$releasever
filesystem.x86_64                    2.4.30-3.el6              @base/$releasever
findutils.x86_64                     1:4.4.2-6.el6             @base/$releasever
fipscheck.x86_64                     1.2.0-7.el6               @base/$releasever
fipscheck-lib.x86_64                 1.2.0-7.el6               @base/$releasever
firefox.x86_64                       17.0.10-1.el6.centos      @base/$releasever
firstboot.x86_64                     1.110.15-1.el6            @base/$releasever
flac.x86_64                          1.2.1-6.1.el6             @base/$releasever
fontconfig.x86_64                    2.8.0-3.el6               @base/$releasever
fontpackages-filesystem.noarch       1.41-1.1.el6              @base/$releasever
fprintd.x86_64                       0.1-21.git04fd09cfa.el6   @base/$releasever
fprintd-pam.x86_64                   0.1-21.git04fd09cfa.el6   @base/$releasever
freetype.x86_64                      2.3.11-14.el6_3.1         @base/$releasever
fuse.x86_64                          2.8.3-4.el6               @base/$releasever
fuse-libs.x86_64                     2.8.3-4.el6               @base/$releasever
gamin.x86_64                         0.1.10-9.el6              @base/$releasever
gawk.x86_64                          3.1.7-10.el6              @base/$releasever
gdbm.x86_64                          1.8.0-36.el6              @base/$releasever
gdm.x86_64                           1:2.30.4-52.el6           @base/$releasever
gdm-libs.x86_64                      1:2.30.4-52.el6           @base/$releasever
gdm-user-switch-applet.x86_64        1:2.30.4-52.el6           @base/$releasever
gedit.x86_64                         1:2.28.4-3.el6            @base/$releasever
genisoimage.x86_64                   1.1.9-12.el6              @base/$releasever
ghostscript.x86_64                   8.70-19.el6               @base/$releasever
ghostscript-fonts.noarch             5.50-23.1.el6             @base/$releasever
glib2.x86_64                         2.26.1-3.el6              @base/$releasever
glibc.x86_64                         2.12-1.132.el6            @base/$releasever
glibc-common.x86_64                  2.12-1.132.el6            @base/$releasever
glx-utils.x86_64                     9.2-0.5.el6               @base/$releasever
gmp.x86_64                           4.3.1-7.el6_2.2           @base/$releasever
gnome-applets.x86_64                 1:2.28.0-7.el6.centos     @base/$releasever
gnome-bluetooth.x86_64               2.28.6-8.el6              @base/$releasever
gnome-bluetooth-libs.x86_64          2.28.6-8.el6              @base/$releasever
gnome-desktop.x86_64                 2.28.2-11.el6.centos      @base/$releasever
gnome-disk-utility.x86_64            2.30.1-2.el6              @base/$releasever
gnome-disk-utility-libs.x86_64       2.30.1-2.el6              @base/$releasever
gnome-disk-utility-ui-libs.x86_64    2.30.1-2.el6              @base/$releasever
gnome-doc-utils-stylesheets.noarch   0.18.1-1.el6              @base/$releasever
gnome-icon-theme.noarch              2.28.0-2.el6              @base/$releasever
gnome-keyring.x86_64                 2.28.2-8.el6_3            @base/$releasever
gnome-keyring-pam.x86_64             2.28.2-8.el6_3            @base/$releasever
gnome-mag.x86_64                     0.15.9-2.el6              @base/$releasever
gnome-media.x86_64                   2.29.91-6.el6             @base/$releasever
gnome-media-libs.x86_64              2.29.91-6.el6             @base/$releasever
gnome-menus.x86_64                   2.28.0-4.el6              @base/$releasever
gnome-packagekit.x86_64              2.28.3-7.el6              @base/$releasever
gnome-panel.x86_64                   2.30.2-15.el6             @base/$releasever
gnome-panel-libs.x86_64              2.30.2-15.el6             @base/$releasever
gnome-power-manager.x86_64           2.28.3-7.el6_4            @base/$releasever
gnome-python2.x86_64                 2.28.0-3.el6              @base/$releasever
gnome-python2-applet.x86_64          2.28.0-5.el6              @base/$releasever
gnome-python2-bonobo.x86_64          2.28.0-3.el6              @base/$releasever
gnome-python2-canvas.x86_64          2.28.0-3.el6              @base/$releasever
gnome-python2-desktop.x86_64         2.28.0-5.el6              @base/$releasever
gnome-python2-extras.x86_64          2.25.3-20.el6             @base/$releasever
gnome-python2-gconf.x86_64           2.28.0-3.el6              @base/$releasever
gnome-python2-gnome.x86_64           2.28.0-3.el6              @base/$releasever
gnome-python2-gnomevfs.x86_64        2.28.0-3.el6              @base/$releasever
gnome-python2-libegg.x86_64          2.25.3-20.el6             @base/$releasever
gnome-python2-libwnck.x86_64         2.28.0-5.el6              @base/$releasever
gnome-screensaver.x86_64             2.28.3-28.el6             @base/$releasever
gnome-session.x86_64                 2.28.0-18.el6             @base/$releasever
gnome-session-xsession.x86_64        2.28.0-18.el6             @base/$releasever
gnome-settings-daemon.x86_64         2.28.2-30.el6             @base/$releasever
gnome-speech.x86_64                  0.4.25-3.1.el6            @base/$releasever
gnome-terminal.x86_64                2.31.3-8.el6              @base/$releasever
gnome-themes.noarch                  2.28.1-6.el6              @base/$releasever
gnome-user-docs.noarch               2.28.0-4.el6              @base/$releasever
gnome-vfs2.x86_64                    2.24.2-6.el6              @base/$releasever
gnome-vfs2-smb.x86_64                2.24.2-6.el6              @base/$releasever
gnupg2.x86_64                        2.0.14-6.el6_4            @base/$releasever
gnutls.x86_64                        2.8.5-10.el6_4.2          @base/$releasever
gpgme.x86_64                         1.1.8-3.el6               @base/$releasever
gpm-libs.x86_64                      1.20.6-12.el6             @base/$releasever
grep.x86_64                          2.6.3-4.el6               @base/$releasever
groff.x86_64                         1.18.1.4-21.el6           @base/$releasever
grub.x86_64                          1:0.97-83.el6             @base/$releasever
grubby.x86_64                        7.0.15-5.el6              @base/$releasever
gstreamer.x86_64                     0.10.29-1.el6             @base/$releasever
gstreamer-plugins-base.x86_64        0.10.29-2.el6             @base/$releasever
gstreamer-plugins-good.x86_64        0.10.23-1.el6             @base/$releasever
gstreamer-tools.x86_64               0.10.29-1.el6             @base/$releasever
gthumb.x86_64                        2.10.11-8.el6             @base/$releasever
gtk2.x86_64                          2.20.1-4.el6              @base/$releasever
gtk2-engines.x86_64                  2.18.4-5.el6.centos       @base/$releasever
gtksourceview2.x86_64                2.8.2-4.el6               @base/$releasever
gucharmap.x86_64                     2.28.2-2.el6              @base/$releasever
gvfs.x86_64                          1.4.3-15.el6              @base/$releasever
gvfs-archive.x86_64                  1.4.3-15.el6              @base/$releasever
gvfs-fuse.x86_64                     1.4.3-15.el6              @base/$releasever
gvfs-obexftp.x86_64                  1.4.3-15.el6              @base/$releasever
gvfs-smb.x86_64                      1.4.3-15.el6              @base/$releasever
gzip.x86_64                          1.3.12-19.el6_4           @base/$releasever
